Timestamp,Operation,ResponseTime(ms),Success
1783156132821,REGISTER_PATIENT,107,true
1783156132928,REGISTER_PATIENT,107,true
1783156133092,REGISTER_PATIENT,162,true
1783156133237,REGISTER_PATIENT,144,true
1783156133375,REGISTER_PATIENT,138,true
1783156133492,REGISTER_PATIENT,116,true
1783156133603,REGISTER_PATIENT,111,true
1783156133712,REGISTER_PATIENT,108,true
1783156133823,REGISTER_PATIENT,111,true
1783156133939,REGISTER_PATIENT,115,true
1783156134060,REGISTER_PATIENT,120,true
1783156134172,REGISTER_PATIENT,111,true
1783156134283,REGISTER_PATIENT,110,true
1783156134393,REGISTER_PATIENT,110,true
1783156134498,REGISTER_PATIENT,105,true
1783156134619,REGISTER_PATIENT,121,true
1783156134726,REGISTER_PATIENT,106,true
1783156134833,REGISTER_PATIENT,106,true
1783156134945,REGISTER_PATIENT,111,true
1783156135056,REGISTER_PATIENT,110,true
1783156135187,REGISTER_PATIENT,131,true
1783156135341,REGISTER_PATIENT,153,true
1783156135470,REGISTER_PATIENT,129,true
1783156135582,REGISTER_PATIENT,111,true
1783156135697,REGISTER_PATIENT,114,true
1783156135812,REGISTER_PATIENT,114,true
1783156135923,REGISTER_PATIENT,110,true
1783156136031,REGISTER_PATIENT,107,true
1783156136139,REGISTER_PATIENT,108,true
1783156136243,REGISTER_PATIENT,104,true
1783156136348,REGISTER_PATIENT,104,true
1783156136464,REGISTER_PATIENT,116,true
1783156136578,REGISTER_PATIENT,113,true
1783156136688,REGISTER_PATIENT,109,true
1783156136798,REGISTER_PATIENT,109,true
1783156136918,REGISTER_PATIENT,120,true
1783156137028,REGISTER_PATIENT,109,true
1783156137152,REGISTER_PATIENT,123,true
1783156137298,REGISTER_PATIENT,145,true
1783156137436,REGISTER_PATIENT,137,true
1783156137550,REGISTER_PATIENT,114,true
1783156137672,REGISTER_PATIENT,121,true
1783156137784,REGISTER_PATIENT,112,true
1783156137896,REGISTER_PATIENT,111,true
1783156138024,REGISTER_PATIENT,127,true
1783156138161,REGISTER_PATIENT,136,true
1783156138271,REGISTER_PATIENT,110,true
1783156138376,REGISTER_PATIENT,104,true
1783156138482,REGISTER_PATIENT,105,true
1783156138588,REGISTER_PATIENT,105,true
1783156138697,REGISTER_PATIENT,109,true
1783156138810,REGISTER_PATIENT,113,true
1783156138922,REGISTER_PATIENT,112,true
1783156139032,REGISTER_PATIENT,109,true
1783156139138,REGISTER_PATIENT,106,true
1783156139259,REGISTER_PATIENT,120,true
1783156139388,REGISTER_PATIENT,129,true
1783156139517,REGISTER_PATIENT,127,true
1783156139638,REGISTER_PATIENT,121,true
1783156139754,REGISTER_PATIENT,115,true
1783156139863,REGISTER_PATIENT,109,true
1783156139974,REGISTER_PATIENT,110,true
1783156140091,REGISTER_PATIENT,117,true
1783156140200,REGISTER_PATIENT,108,true
1783156140235,MEDICINE_CREATED,34,false
1783156140264,MEDICINE_CREATED,28,true
1783156140285,MEDICINE_CREATED,20,true
1783156140316,MEDICINE_CREATED,31,true
1783156140336,MEDICINE_CREATED,19,true
1783156140358,MEDICINE_CREATED,21,true
1783156140379,MEDICINE_CREATED,20,true
1783156140391,MEDICINE_CREATED,11,false
1783156140410,MEDICINE_CREATED,18,true
1783156140418,MEDICINE_CREATED,8,false
1783156140437,MEDICINE_CREATED,18,true
1783156140451,MEDICINE_CREATED,14,true
1783156140463,MEDICINE_CREATED,11,true
